"NOGA";"Canton";"1995 Q3";"1995 Q4";"1996 Q1";"1996 Q2";"1996 Q3";"1996 Q4";"1997 Q1";"1997 Q2";"1997 Q3";"1997 Q4";"1998 Q1";"1998 Q2";"1998 Q3";"1998 Q4";"1999 Q1";"1999 Q2";"1999 Q3";"1999 Q4";"2000 Q1";"2000 Q2";"2000 Q3";"2000 Q4";"2001 Q1";"2001 Q2";"2001 Q3";"2001 Q4";"2002 Q1";"2002 Q2";"2002 Q3";"2002 Q4";"2003 Q1";"2003 Q2";"2003 Q3";"2003 Q4";"2004 Q1";"2004 Q2";"2004 Q3";"2004 Q4";"2005 Q1";"2005 Q2";"2005 Q3";"2005 Q4";"2006 Q1";"2006 Q2";"2006 Q3";"2006 Q4";"2007 Q1";"2007 Q2";"2007 Q3";"2007 Q4";"2008 Q1";"2008 Q2";"2008 Q3";"2008 Q4";"2009 Q1";"2009 Q2";"2009 Q3";"2009 Q4";"2010 Q1";"2010 Q2";"2010 Q3";"2010 Q4";"2011 Q1";"2011 Q2";"2011 Q3";"2011 Q4";"2012 Q1";"2012 Q2";"2012 Q3";"2012 Q4";"2013 Q1";"2013 Q2";"2013 Q3";"2013 Q4";"2014 Q1";"2014 Q2";"2014 Q3";"2014 Q4";"2015 Q1";"2015 Q2";"2015 Q3";"2015 Q4";"2016 Q1";"2016 Q2";"2016 Q3";"2016 Q4";"2017 Q1";"2017 Q2";"2017 Q3";"2017 Q4";"2018 Q1";"2018 Q2";"2018 Q3";"2018 Q4";"2019 Q1";"2019 Q2";"2019 Q3";"2019 Q4";"2020 Q1";"2020 Q2";"2020 Q3";"2020 Q4";"2021 Q1";"2021 Q2";"2021 Q3"
"5";"ZH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";"ZH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"ZH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"ZH";808.575949367088;798.67007879101;789.004926468489;805.34667209859;807.236198960083;759.046596486698;751.066283865146;755.761517011695;738.295874235827;719.423114182383;719.403230399027;710.739719887344;707.228669124625;679.799631878069;665.838726570249;677.716486530082;663.752811938178;640.176149573752;635.122549044382;634.078426999532;627.656115981039;600.55266726944;579.612660855521;589.599177521087;587.801381483063;571.051206083699;557.500122185123;574.191290826098;576.94964589962;571.91580825368;568.510294753848;575.022803625957;580.872771890041;572.780410423662;562.592520150784;583.656075435753;587.739588916154;573.645012593645;570.397008541278;586.231261057626;590.574433775687;588.963197742583;630.26275436913;609.96349292436;639.919614636386;647.642131828389;664.454178618744;696.04284282248;703.02748937413;706.321065914194;718.105221640828;749.043029356409;749.449270387042;764.999999999999;740.261845791749;730.600363139115;711.812507376938;674.00047740315;641.786226889791;609.931266055556;585.307658377261;539.921540540039;506.755946690351;496.604631947068;499.161747703332;490.8;522.989562179569;550.09467773363;595.140817507977;584.799999999999;603.201737055618;618.20722807708;621.476044007494;605.7;608.619025513802;610.995908267303;607.440725163325;579.900000000002;568.812868050765;581.927016406511;576.693667617402;565.5;574.250870590084;567.803919231859;571.353342024189;565.900000000004;571.320514200299;572.189861630133;574.39605591508;569.499999999996;573.942757869292;585.271369455367;592.440240296679;589.1;593.488244952583;580.522359805151;595.834155561173;585.100000000005;591.374566698683;590.772529382179;595.61558512828;575.2132094023;597.180882151192;567.935247176115;561.847980975904
"9";"ZH";0;0;0;1.04905748311168;1.46763709613127;1.87500000000006;2.26550046481254;2.64465294471082;3.01030035883779;3.375;3.75098621078064;4.12689344141879;4.50505627825949;4.8750000000001;5.24659584341616;5.62592825840278;5.99941187068411;6.37499999999999;6.76579068477461;7.15660803530396;7.53317675469599;7.8749999999999;8.16490109438761;8.39451235032483;8.5111716907305;8.43749999999998;8.03999578553118;7.47997038527475;6.83882753334304;6.18749999999983;5.59526512077648;5.03647513949252;4.4898754825793;3.93749999999993;3.36853140797596;2.80456575964103;2.24051262107461;1.68749999999989;1.17164603406709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.9447929095607;4.43479710211045;6.93906483911622;8.89999999999987;9.6300736623279;9.66907580531666;9.33019852938344;8.80000000000003;8.215885795212;7.63075865020956;7.10136529625526;6.70000000000001;6.56282275382411;6.57002959034897;6.63279731703165;6.69999999999967;6.72687515729217;6.72448420391302;6.71417573552882;6.70000000000001;6.6975730775465;6.69799909054535;6.7003802553132;6.70000000000002;6.69973827926204;6.70061263331276;6.70077274616552;6.69999999999985;6.70630027619819;6.70746199517915;6.71295813867827;6.69999999999995;6.77185027667256;6.76495632688521;6.82041432295235;6.58678602460324;6.83833859239946;6.50344583161837;6.43374033932405
"10";"ZH";7916.90764219838;7870.69474093322;7721.54915712472;7769.30015705943;7768.08095940395;7685.84313587941;7605.78346151272;7695.78338908977;7774.60280106589;7500.99153082566;7414.66709724824;7535.30527680718;7471.7044305458;7316.13992577191;7193.24234575691;7151.48823945991;7168.24962920986;7131.28832071815;6983.0380961571;7087.11221970192;6989.23919528899;6946.43671566443;6665.63654857513;6755.23669977315;6883.23872907659;6854.18232597614;7065.7786188783;7109.15467420986;7256.55144592452;7039.71958238426;7008.57867565386;7121.64697239561;7210.88811605528;7225.25683879232;7162.56887919708;7239.20692125783;7413.68867716572;7410.79409520048;7489.57956932889;7460.21386875421;7534.26462434337;7575.71434281612;7307.16901644835;7502.65241999702;7629.17831552223;7678.78356405459;7699.37506281549;7762.3648924163;7770.46731458318;7781.85278529306;7821.95467710304;7880.98070473457;7880.69349956862;7884.92200653149;7906.06384940651;8061.30965457852;8236.26138244702;8205.23769216441;8226.73808367884;8391.40509543621;8609.65926719514;8732.44869207824;8802.02616208719;8960.95014566738;9096.54844609552;9069.49999999998;9089.13133853246;9115.14903098396;9097.79221527157;9008.3;9092.85824054786;9192.63882764609;9453.86093811664;9536.99999999991;9515.23714351815;9569.41526581209;9665.03674480293;9601.19999999999;9605.97194805602;9631.16112740471;9647.82907312344;9606.10000000001;9415.76773091182;9404.34932217078;9248.79435908801;9211.89999999995;9061.67179557036;8888.73557013364;8867.65322052146;8680.89999999997;8601.1448537719;8571.23655601671;8693.54954454477;8654.79999999996;8743.79717937285;8690.26118699451;8853.1864553372;8716.39999999996;8760.0331726027;8760.28334977165;8767.41339908672;8819.23418812781;8619.03559452051;8717.29836347028;8804.46236347028
"11";"ZH";727.987646868532;727.376918976871;716.756941212469;724.970521734358;728.776947719811;724.934007410197;720.905411692657;732.631620041575;743.683786143373;722.491095843523;717.863402284368;732.551616636695;730.527925593821;720.048184276848;712.339604883957;712.00191931169;717.156453549753;717.605272710174;707.964603585897;721.549060964677;716.086811341776;715.1623611435;692.41224839414;702.804432887051;715.209615690358;710.987534660155;725.389136796187;722.652336078924;728.921888701519;701.616963426797;691.953628277263;695.83518955421;697.544865110199;692.24639219344;679.790048682143;680.133428273967;689.585924586077;682.875820960083;683.82676387037;675.280280113442;676.975659412434;676.711746453016;649.665624705794;666.262101918444;676.788401620051;680.167162124819;680.548677836401;684.75060666472;683.974129911198;683.622577796622;685.748414146732;689.621332876208;688.014379258966;687.077993468427;689.132677701324;703.615624180976;719.603914461153;716.438521478966;718.581003380706;733.800743893219;753.521593817344;763.747406953664;768.064277798526;780.77839252947;792.371781172711;790.299999999999;792.846961526347;794.886033308352;788.356842381693;764.799999999998;737.220164775429;702.630026477199;683.501727044787;658.299999999999;648.379430396455;658.008014357025;676.900178418735;681.400000000001;687.048838935474;692.57020212602;697.213635296835;698.099999999999;689.354100660596;699.025595798483;695.829464488024;702.2;693.319100653601;680.647675338524;682.019646122411;670.199999999998;674.659432715385;685.490819019221;709.724711239024;716.300000000001;728.220794079725;724.08243477975;738.661387127595;725.200000000001;728.830257534247;728.851072146119;729.444288584476;733.755751598174;717.09933150685;725.274743378996;732.526743378996
"12";"ZH";201.5;193.10416666666;184.028656778725;178.042130980017;169.86601273174;159.520833333357;149.879176587832;144.877325452676;139.78421993211;125.93750000006;116.677723289493;112.446742443744;103.548488634574;92.3541666667063;82.0423154696353;73.7843018620028;66.9704884875242;58.7708333334362;47.7462974049712;43.012795574556;33.3486845391452;25.1875000000662;11.1862100205871;6.99558221787694;4.7701405562407;0;2.90301283588238;2.77630255879748;5.86464654155913;0;0;0;0;0;0;0;1.17661641657369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.46644421858792;0;0;0;1.17640670496419;3.35701370282789;0;0;0;0;0;0;0;1.63041235773809;0;0;2.52945186562368;2.72808033552968;0;0;0;1.00035550850745;0;0;0;1.48712850893733;0;0;0;0;0;0;0;0;0;0;0;2.1623672810052;0;0;0;1.4569934594885;0;1.78419008846839;0;3.74425700398066;0;0;0;0;0;0;0;0
"13";"ZH";2466.43033601945;2433.25575962272;2382.17208012751;2358.21879643993;2306.66992834467;2300.55745403579;2300.74237895355;2298.75620761175;2268.50514494401;2167.85914844887;2159.05165589812;2135.17929698754;2115.86319449655;2035.16084286194;1945.76498347922;1920.24294638127;1903.16616667122;1902.46253727501;1850.13794856486;1816.51574710875;1822.43397560843;1769.76423168809;1743.01086313636;1680.04128252297;1655.57781225243;1641.15094954086;1631.81426841016;1579.25067320317;1564.18321788382;1524.7927377127;1501.01710204706;1482.6051685036;1433.01257210146;1408.43452588455;1385.75452368593;1349.9544829569;1332.70044983307;1292.0763140564;1257.02769382325;1265.59368398457;1223.68087540454;1187.38606840388;1157.19347184279;1113.28444177972;1109.55188337316;1117.69972127826;1096.39346519342;1084.15517048654;1074.85943567627;1048.01337415264;1050.18361556956;1038.97807225477;1035.73360882408;978.327027027023;1005.81955325877;935.59227882156;943.372969613098;948.700037282372;940.949913601414;929.454494443076;911.117833134074;892.107593639798;924.246720524531;913.891338056366;878.279451799942;835.799999999997;819.436174748963;831.3920553489;802.577710902576;800.299999999999;812.09216238778;820.322015753286;833.665428634813;841.899999999999;834.621976516048;845.596502833559;836.861968800065;825.599999999996;825.867379256883;823.306081167695;813.8681891364;804.199999999999;746.553168564724;718.068625832878;703.672464846194;676.199999999997;667.794844932044;668.365616982515;692.831450622125;686.699999999997;683.0553483459;671.778313182441;653.979934052027;647.299999999999;623.545404317;613.895894716278;613.805858346083;614.899999999999;611.192414025623;603.738671611597;600.551786918408;597.982029669588;592.442346594739;599.616453135535;594.655327039783
"14";"ZH";1107.15032172861;1091.97495152664;1067.15479836895;1055.19426891397;1032.28393970454;1031.27347071879;1032.00412350537;1031.86384754109;1017.88222086069;970.57198991093;968.002842213243;957.013737384829;947.056406687991;909.870509103072;868.082200708693;856.263068478241;848.998420490482;849.169028295214;827.067165222338;812.372421110987;814.11169130636;788.467547487354;775.070682067012;745.581628019393;734.408788517404;729.060162666046;723.575127303243;699.500466301473;692.356667102621;673.535065804379;663.602149489041;654.713878474469;630.796100710228;618.009968942711;606.187361087695;589.132224878148;580.870734585793;562.484872081045;547.835060337638;553.910808002709;539.543095617189;531.712315110386;533.10584663727;532.154380314536;550.981327310907;575.197377812764;584.82711453876;597.745528621274;611.865447294599;618.682440515139;639.918697294073;655.384294837834;673.163110152798;662.167503217511;675.636012945689;639.786505733337;635.870331989598;629.34848429232;621.328362946456;610.745419978742;595.882939140238;580.831537083056;592.570453167352;587.995701434609;576.002488634764;565.700000000007;567.537132252442;585.459585813384;585.736129000088;594.400000000007;600.882980217156;600.315229884552;599.11450773544;595.600000000003;591.454824761212;596.728083654477;592.830639693532;586.300000000009;580.325225475797;572.081730202398;561.54481110637;554.099999999999;534.672875175134;530.665406347342;531.675902574094;521.399999999999;505.20557456254;487.726574589634;479.898353849047;461.100000000004;453.884724041663;447.325797491127;439.905226207701;438.70000000001;429.723536499217;427.98379863471;431.527383669983;436.200000000006;433.569899167313;428.28233624489;426.021612382198;424.1986686321;420.268908090144;425.358101899048;421.838760212649
